title,author,year,edition,full_description,level,score
Python for Data Science,Yuli Vasiliev,2022,,"Look Inside!


Download Chapter 9: ANALYZING LOCATION DATA
 
Python is an ideal choice for accessing, manipulating, and gaining insights from data of all kinds. Python for Data Science introduces you to the Pythonic world of data analysis with a learn-by-doing approach rooted in practical examples and hands-on activities. You’ll learn how to write Python code to obtain, transform, and analyze data, practicing state-of-the-art data processing techniques for use cases in business management, marketing, and decision support.
You will discover Python’s rich set of built-in data structures for basic operations, as well as its robust ecosystem of open-source libraries for data science, including NumPy, pandas, scikit-learn, matplotlib, and more. Examples show how to load data in various formats, how to streamline, group, and aggregate data sets, and how to create charts, maps, and other visualizations. Later chapters go in-depth with demonstrations of real-world data applications, including using location data to power a taxi service, market basket analysis to identify items commonly purchased together, and machine learning to predict stock prices.
",Beginner,0.7
Python for Excel Power Users,Tracy Stephens,2025,,"Excel is a mainstay of the modern workplace, but it isn’t always the best tool for the job. Python for Excel Power Users offers a better way, showing how Python and other coding tools can boost your productivity by streamlining your workflow. Even if you’re inexperienced at programming, you are not starting from scratch—this book leverages what you already know in Excel to introduce you to useful Python concepts that will have you up and coding in no time. Beyond Python, you’ll learn skills such as:

Managing and querying database data using SQL
Obtaining data from external sources through API calls
Developing basic web pages with HTML
Creating attractive dashboards and reports with Dash
Collaborating with others and tracking how projects evolve using Git

Practical examples illustrate how your new coding skills can be immediately applied to your day-to-day work. You’ll be amazed at how much more you can do once you escape the confines of the spreadsheet and replace Excel in your workflow.
",Intermediate,0.44
Python for Kids,Jason R. Briggs,2022,2nd Edition,"Download Chapter 8: HOW TO USE CLASSES AND OBJECTS
Look Inside!

Python is a powerful programming language that’s easy to learn and fun to use! But books about programming in Python can be dull and that’s no fun for anyone.
Python for Kids brings kids (and their parents) into the wonderful world of programming. Jason R. Briggs guides you through the basics, experimenting with unique (and hilarious) example programs featuring ravenous monsters, secret agents, thieving ravens, and more. New terms are defined; code is colored and explained; puzzles stretch the brain and strengthen understanding; and full-color illustrations keep you engaged throughout. 
By the end of the book, you’ll have programmed two games: a clone of the famous Pong, and “Mr. Stick Man Races for the Exit”—a platform game with jumps and animation.
This second edition is revised and updated to reflect Python 3 programming practices. There are new puzzles to inspire you and two new appendices to guide you through Python’s built-in modules and troubleshooting your code.
As you strike out on your programming adventure, you’ll learn how to:

Use fundamental data structures like lists, tuples, and dictionaries  
Organize and reuse your code with functions and modules
Use control structures like loops and conditional statements 
Draw shapes and patterns with Python’s turtle module
Create games, animations, and other graphical wonders with tkinter

Why should serious adults have all the fun? Python for Kids is your ticket into the amazing world of computer programming.
Covers Python 3.x which runs on Windows, macOS, Linux, even Raspberry Pi
",Beginner,0.64
Python One-Liners,Christian Mayer,2020,,"Look Inside!





Download Chapter 2: PYTHON TRICKS (PDF)
Download Python One-Liners cheat sheets (PDF)
Please visit the book's companion site for cheat sheets and video tutorials.
Download executable files here.


Python One-Liners will teach you how to read and write “one-liners”: concise statements of useful functionality packed into a single line of code. You'll learn how to systematically unpack and understand any line of Python code, and write eloquent, powerfully compressed Python like an expert. 
The book’s five chapters cover tips and tricks, regular expressions, machine learning, core data science topics, and useful algorithms. Detailed explanations of one-liners introduce key computer science concepts and boost your coding and analytical skills.
You'll learn about advanced Python features such as list comprehension, slicing, lambda functions, regular expressions, map and reduce functions, and slice assignments.
You’ll also learn how to:

 Leverage data structures to solve real-world problems, like using Boolean indexing to find cities with above-average pollution
 Use NumPy basics such as array, shape, axis, type, broadcasting, advanced indexing, slicing, sorting, searching, aggregating, and statistics
 Calculate basic statistics of multidimensional data arrays and the K-Means algorithms for unsupervised learning
 Create more advanced regular expressions using grouping and named groups, negative lookaheads, escaped characters, whitespaces, character sets (and negative characters sets), and greedy/nongreedy operators
 Understand a wide range of computer science topics, including anagrams, palindromes, supersets, permutations, factorials, prime numbers, Fibonacci numbers, obfuscation, searching, and algorithmic sorting

By the end of the book, you’ll know how to write Python at its most refined, and create concise, beautiful pieces of ""Python art"" in merely a single line.
",Intermediate,0.45
Python Playground,Mahesh Venkitachalam,2023,2nd Edition,"Download Chapter 1: THE KOCH SNOWFL AKE
Look Inside!

Harness the power of Python as you turn code into tangible creations with Python Playground, a collection of 15 inventive projects that will expand your programming horizons, spark your curiosity, and elevate your coding skills.
Go beyond the basics as you write programs to generate art and music, simulate real-world phenomena, and interact with hardware, all through the use of Python and common libraries such as numpy, matplotlib, and Pillow.
As you work through the book’s projects, you will:

Craft intricate Spirograph-like designs with parametric equations and the turtle module
Generate music by synthesizing plucked string sounds
Transform everyday images into ASCII art, photomosaics, and eye-popping autostereograms
Design engaging cellular automata and flocking simulations
Explore the realm of 3D graphics, from basic shape rendering to visualizing MRI scan data
Build a Raspberry Pi–powered laser show that dances along with music

New to this edition: We’ve expanded your playground with five new projects: you’ll draw fractals, bring Conway’s Game of Life into 3D space, and use a Raspberry Pi and Python to create a musical instrument, an IoT garden monitor, and even a machine learning–driven speech recognition system.
Whether you’re a seasoned professional or just getting started, you’ll find Python Playground to be a great way to learn, experiment with, and master this versatile programming language.
",Intermediate,0.46
Python Tools for Scientists,Lee Vaughan,2022,,"Download Chapter 16: THE INFOVIS, SCIVIS, AND DASHBOARDING LIBRARIES
Look Inside!


Python Tools for Scientists will introduce you to Python tools you can use in your scientific research, including Anaconda, Spyder, Jupyter Notebooks, JupyterLab, and numerous Python libraries. You’ll learn to use Python for tasks such as creating visualizations, representing geospatial information, simulating natural events, and manipulating numerical data.
Once you’ve built an optimal programming environment with Anaconda, you’ll learn how to organize your projects and use interpreters, text editors, notebooks, and development environments to work with your code. Following the book’s fast-paced Python primer, you’ll tour a range of scientific tools and libraries like scikit-learn and seaborn that you can use to manipulate and visualize your data, or analyze it with machine learning algorithms.
You’ll also learn how to:

Create isolated projects in virtual environments, build interactive notebooks, test code in the Qt console, and use Spyder’s interactive development features
Use Python’s built-in data types, write custom functions and classes, and document your code
Represent data with the essential NumPy, Matplotlib, and pandas libraries
Use Python plotting libraries like Plotly, HoloViews, and Datashader to handle large datasets and create 3D visualizations

Regardless of your scientific field, Python Tools for Scientists will show you how to choose the best tools to meet your research and computational analysis needs.
",Beginner,0.6
Real-World Python,Lee Vaughan,2020,,"Look Inside!




Download Chapter 2: ATTRIBUTING AUTHORSHIP WITH STYLOMETRY
You can find code files and solutions to the book's programs at its GitHub page.
PROGRAM PYTHON LIKE A PROFESSIONAL
With its emphasis on project-based practice, Real World Python will take you from playing with syntax to writing complete programs in no time. You’ll conduct experiments, explore statistical concepts, and solve novel problems that have frustrated geniuses throughout history, like detecting distant exoplanets, as you continue to build your Python skills.
Chapters begin with a clearly defined project goal and a discussion of ways to attack the problem, followed by a mission designed to make you think like a programmer. You’ll direct a Coast Guard search-and-rescue effort, plot and execute a NASA flight to the moon, protect access to a secure lab using facial recognition, and more. Along the way you’ll learn how to:

Use libraries like matplotlib, NumPy, Bokeh, pandas, Requests, Beautiful Soup, and turtle
Work with Natural Language Processing and computer vision modules like NLTK and OpenCV
Write a program to detect and track objects moving across a starfield
Scrape speeches from the internet and autosummarize them
Use the Mars Orbiter Laser Altimeter (MOLA) map to select spacecraft landing sites
Survive a zombie apocalypse with the aid of data-plotting and visualization tools

The book’s programs are beginner-friendly, but as you progress you’ll learn more sophisticated techniques to help you grow your coding capabilities. Once your missions are accomplished, you’ll be ready to solve real-world problems with Python on your own.
",Beginner,0.72
Serious Python,Julien Danjou,2018,,"""Serious Python contains a considerable amount of judicious battle-tested advice from an experienced developer—as well as some insightful gems from the guest contributors—making the overall effort a welcome addition to the limited number of books aimed at more advanced Python programmers.""
—Michael J. Ross, web developer and former Slashdot contributor.
Download Chapter 6: Unit Testing
Sharpen your Python skills as you dive deep into the Python programming language with Serious Python. You’ll cover a range of advanced topics like multithreading and memorization, get advice from experts on things like designing APIs and dealing with databases, and learn Python internals to help you gain a deeper understanding of the language itself. Written for developers and experienced programmers, Serious Python brings together over 15 years of Python experience to teach you how to avoid common mistakes, write code more efficiently, and build better programs in less time. 
As you make your way through the book’s extensive tutorials, you’ll learn how to start a project and tackle topics like versioning, layouts, coding style, and automated checks. You’ll learn how to package your software for distribution, optimize performance, use the right data structures, define functions efficiently, pick the right libraries, build future-proof programs, and optimize your programs down to the bytecode. 
You’ll also learn how to: 

Make and use effective decorators and methods, including abstract, static, and class methods
Employ Python for functional programming using generators, pure functions, and functional functions
Extend flake8 to work with the abstract syntax tree (AST) to introduce more sophisticated automatic checks into your programs
Apply dynamic performance analysis to identify bottlenecks in your code
Work with relational databases and effectively manage and stream data with PostgreSQL

If you’ve been looking for a way to take your Python skills from good to great, Serious Python will help you get there. Learn from the experts and get seriously good at Python with Serious Python!
",Intermediate,0.42
Teach Your Kids to Code,Bryson Payne,2015,,"Bryson Payne and Teach Your Kids to Code are featured in The Wall Street Journal!
Teach Your Kids Kids to Code was selected as one of the best books for learning Python by Real Python
“A straightforward, crystal-clear guide to programming in Python...Sophisticated concepts and serious programming make for an easy, enjoyable game for families.”
—Kirkus Reviews
“An easy five stars...With the information provided in Teach Your Kids to Code, kids (and adults) will have a solid foundation from which to jump to more advanced programming books.”
—James Floyd Kelly, GeekDad
“Kid coders who have mastered the likes of Scratch, or older students who are math inclined and want to learn how to code, will find a worthy choice in Payne’s guide to Python programming.”
—School Library Journal
Listen to Bryson Payne's interview with A Closer Look on WABE, Atlanta's NPR station, and check out why the book was nominated for the opensource.com 2015 summer reading list.
Bryson Payne's Udemy course is now available! Register with coupon code NOSTARCH27 and follow along with lessons from Teach Your Kids to Code.

Download Chapter 6: Random Fun and Games! (PDF)
Download ""Installing Pygame for Python 3 on Mac and Linux"" (PDF)
Download the code files and solutions to programming challenges


Look Inside!



Teach Your Kids to Code is a parent's and teacher's guide to teaching kids basic programming and problem solving using Python, the powerful language used in college courses and by tech companies like Google and IBM.

Step-by-step explanations will have kids learning computational thinking right away, while visual and game-oriented examples hold their attention. Friendly introductions to fundamental programming concepts such as variables, loops, and functions will help even the youngest programmers build the skills they need to make their own cool games and applications.

Whether you've been coding for years or have never programmed anything at all, Teach Your Kids to Code will help you show your young programmer how to:

Explore geometry by drawing colorful shapes with Turtle graphics
Write programs to encode and decode messages, play Rock-Paper-Scissors, and calculate how tall someone is in Ping-Pong balls
Create fun, playable games like War, Yahtzee, and Pong
Add interactivity, animation, and sound to their apps


Teach Your Kids to Code is the perfect companion to any introductory programming class or after-school meet-up, or simply your educational efforts at home. Spend some fun, productive afternoons at the computer with your kids—you can all learn something!
",Intermediate,0.41
The Art of Clean Code,Christian Mayer,2022,,"Download Chapter 2: THE 80/20 PRINCIPLE
Look Inside!


 
Most software developers waste thousands of hours working with overly complex code. The eight core principles in The Art of Clean Code will teach you how to write clear, maintainable code without compromising functionality. The book’s guiding principle is simplicity: reduce and simplify, then reinvest energy in the important parts to save you countless hours and ease the often onerous task of code maintenance.
Bestselling author Christian Mayer leverages his experience helping thousands perfect their coding skills in this new book. With expert advice and real-world examples, he’ll show you how to:

Concentrate on the important stuff with the 80/20 principle — focus on the 20% of your code that matters most
Avoid coding in isolation: create a minimum viable product to get early feedback
 Write code cleanly and simply to eliminate clutter
Avoid premature optimization that risks over-complicating code
Balance your goals, capacity, and feedback to achieve the productive state of Flow
Apply the Do One Thing Well philosophy to vastly improve functionality
Design efficient user interfaces with the Less is More principle
Tie your new skills together into one unifying principle: Focus

This Python-based guide is suitable for programmers at any level, with ideas presented in a language-agnostic manner.
",Intermediate,0.42
The Big Book of Small Python Projects,Al Sweigart,2021,,"Look Inside!

 
Download Chapter 11: CLICKBAIT HEADLINE GENERATOR


Download the resource files used in the book

If you’ve mastered basic Python syntax and you’re ready to start writing programs, you’ll find The Big Book of Small Python Projects both enlightening and fun. This collection of 81 Python projects will have you making digital art, games, animations, counting pro- grams, and more right away. Once you see how the code works, you’ll practice re-creating the programs and experiment by adding your own custom touches.
These simple, text-based programs are 256 lines of code or less. And whether it’s a vintage screensaver, a snail-racing game, a clickbait headline generator, or animated strands of DNA, each project is designed to be self-contained so you can easily share it online.
You’ll create:

Hangman, Blackjack, and other games to play against your friends or the computer
Simulations of a forest fire, a million dice rolls, and a Japanese abacus
Animations like a virtual fish tank, a rotating cube, and a bouncing DVD logo screensaver
A first-person 3D maze game
Encryption programs that use ciphers like ROT13 and Vigenère to conceal text

If you’re tired of standard step-by-step tutorials, you’ll love the learn-by-doing approach of The Big Book of Small Python Projects. It’s proof that good things come in small programs!
",Beginner,0.6
The Book of Dash,"Adam Schroeder, Christian Mayer, and Ann Marie Ward",2022,,"Download Chapter 4: FIRST DASH APP
Look Inside!


A swift and practical introduction to building interactive data visualization apps in Python, known as dashboards. You’ve seen dashboards before; think election result visualizations you can update in real time, or population maps you can filter by demographic. With the Python Dash library you’ll create analytic dashboards that present data in effective, usable, elegant ways in just a few lines of code.
The book is fast-paced and caters to those entirely new to dashboards. It will talk you through the necessary software, then get straight into building the dashboards themselves. You’ll learn the basic format of a Dash app by building a twitter analysis dashboard that maps the number of likes certain accounts gained over time. You’ll build up skills through three more sophisticated projects. The first is a global analysis app that compares country data in three areas: the percentage of a population using the internet, percentage of parliament seats held by women, and CO2 emissions. You’ll then build an investment portfolio dashboard, and an app that allows you to visualize and explore machine learning algorithms.
In this book you will:

Create and run your first Dash apps
Use the pandas library to manipulate and analyze social media data
Use Git to download and build on existing apps written by the pros
Visualize machine learning models in your apps
Create and manipulate statistical and scientific charts and maps using Plotly

Dash combines several technologies to get you building dashboards quickly and efficiently. This book will do the same.
",Beginner,0.85
The Recursive Book of Recursion,Al Sweigart,2022,,"Look Inside!


Download Chapter 1: WHAT IS RECURSION?
Recursion has an intimidating reputation: it’s considered to be an advanced computer science topic frequently brought up in coding interviews. But there’s nothing magical about recursion. 
The Recursive Book of Recursion uses Python and JavaScript examples to teach the basics of recursion, exposing the ways that it’s often poorly taught and clarifying the fundamental principles of all recursive algorithms. You’ll learn when to use recursive functions (and, most importantly, when not to use them), how to implement the classic recursive algorithms often brought up in job interviews, and how recursive techniques can help solve countless problems involving tree traversal, combinatorics, and other tricky topics.
 
This project-based guide contains complete, runnable programs to help you learn:

How recursive functions make use of the call stack, a critical data structure almost never discussed in lessons on recursion
How the head-tail and “leap of faith” techniques can simplify writing recursive functions
How to use recursion to write custom search scripts for your filesystem, draw fractal art, create mazes, and more
How optimization and memoization make recursive algorithms more efficient

Al Sweigart has built a career explaining programming concepts in a fun, approachable manner. If you’ve shied away from learning recursion but want to add this technique to your programming toolkit, or if you’re racing to prepare for your next job interview, this book is for you.
",Intermediate,0.4
